Round,Date,Home Team,Home Score,Away Team,Away Score,Venue,,,,,,,,
12,Saturday 21 June 2008,Central Pulse,41,Waikato Bay of Plenty Magic,46,"TSB Bank Arena, Wellington",,,,,,,,
12,Saturday 21 June 2008,West Coast Fever,48,Melbourne Vixens,54,"Challenge Stadium, Perth",,,,,,,,
12,Sunday 22 June 2008,Queensland Firebirds,50,Canterbury Tactix,36,Brisbane Convention & Exhibition Centre,,,,,,,,
12,Monday 23 June 2008,Northern Mystics,47,Southern Steel,41,"North Shore Events Centre, Auckland",,,,,,,,
12,Monday 23 June 2008,New South Wales Swifts,51,Adelaide Thunderbirds,41,Sydney Olympic Park Sports Centre,,,,,,,,
13,Saturday 28 June 2008,Northern Mystics,42,Central Pulse,28,"North Shore Events Centre, Auckland",,,,,,,,
13,Saturday 28 June 2008,Adelaide Thunderbirds,66,Queensland Firebirds,47,"ETSA Park, Adelaide",,,,,,,,
13,Sunday 29 June 2008,West Coast Fever,50,Canterbury Tactix,44,"Challenge Stadium, Perth",,,,,,,,
13,Monday 30 June 2008,Southern Steel,47,Waikato Bay of Plenty Magic,43,"Stadium Southland, Invercargill",,,,,,,,
13,Monday 30 June 2008,Melbourne Vixens,49,New South Wales Swifts,62,"Vodafone Arena, Melbourne",,,,,,,,
14,Saturday 5 July 2008 ,Waikato Bay of Plenty Magic,69,Canterbury Tactix,44,"Mystery Creek Events Centre,Hamilton",,,,,,,,
14,Sunday 6 July 2008,Melbourne Vixens,56,Northern Mystics,47,"Vodafone Arena, Melbourne",,,,,,,,
14,Sunday 6 July 2008,Southern Steel,54,Queensland Firebirds,52,"Edgar Centre, Dunedin",,,,,,,,
14,Monday 7 July 2008,Central Pulse,32,Adelaide Thunderbirds,44,"Pettigrew Green Arena, Napier",,,,,,,,
14,Monday 7 July 2008,West Coast Fever,54,New South Wales Swifts,63,"Challenge Stadium, Perth",,,,,,,,
15,Sunday 13 July 2008,Waikato Bay of Plenty Magic,56,New South Wales Swifts,57,"Mystery Creek Events Centre,Hamilton",,,,,,,,
15,Monday 14 July 2008,Adelaide Thunderbirds,53,Melbourne Vixens,48,"ETSA Park, Adelaide",,,,,,,,
16,Monday 21 July 2008,Waikato Bay of Plenty Magic,51,Adelaide Thunderbirds,49,"Mystery Creek Events Centre,Hamilton",,,,,,,,
17,Monday 28 July 2008,New South Wales Swifts,65,Waikato Bay of Plenty Magic,56,"Acer Arena, Sydney",,,,,,,,
1,Saturday 4 April 2009,Southern Steel,55,Central Pulse,46,"Stadium Southland, Invercargill",,,,,,,,
1,Saturday 4 April 2009,Melbourne Vixens,57,West Coast Fever,44,"State Netball and Hockey Centre, Melbourne",,,,,,,,
1,Sunday 5 April 2009,Queensland Firebirds,48,Adelaide Thunderbirds,60,Brisbane Convention and Exhibition Centre,,,,,,,,
1,Monday 6 April 2009,Northern Mystics,38,Waikato Bay of Plenty Magic,51,"Trusts Stadium, Auckland",,,,,,,,
1,Monday 6 April 2009,New South Wales Swifts,62,Canterbury Tactix,45,Sydney Olympic Park Sports Centre,,,,,,,,
2,Saturday 11 April 2009,Waikato Bay of Plenty Magic,54,Southern Steel,47,"Queen Elizabeth Youth Centre, Tauranga",,,,,,,,
2,Sunday 12 April 2009,Adelaide Thunderbirds,48,New South Wales Swifts,47,"ETSA Park, Adelaide",,,,,,,,
2,Sunday 12 April 2009,Northern Mystics,54,Central Pulse,50,"North Shore Events Centre, Auckland",,,,,,,,
2,Monday 13 April 2009,Canterbury Tactix,52,West Coast Fever,44,"Westpac Arena, Christchurch",,,,,,,,
2,Monday 13 April 2009,Queensland Firebirds,51,Melbourne Vixens,54,Brisbane Convention and Exhibition Centre,,,,,,,,
3,Saturday 18 April 2009,Central Pulse,46,Queensland Firebirds,58,"TSB Bank Arena, Wellington",,,,,,,,
